image,NIQE,BRISQUE,NIMA
image_0.png,3.0799205996470187,17.89129638671875,6.518094062805176
image_2.png,3.7858896001223052,29.46551513671875,5.439767837524414
image_4.png,4.473829357946111,68.69940185546875,6.383181095123291
image_1.png,4.888631358898584,36.71746826171875,5.868582725524902
image_6.png,4.883337466551512,32.43280029296875,6.503793239593506
image_3.png,6.227563357629253,62.65203857421875,6.850309371948242
image_5.png,3.898806631113373,18.23211669921875,5.723201751708984
image_9.png,4.095577847040644,24.61151123046875,5.7155680656433105
image_8.png,3.566908973910579,17.66717529296875,6.312726974487305
image_7.png,6.0523979428866665,52.79705810546875,5.622062683105469
