image,NIQE,BRISQUE,NIMA
5570_var1.png,5.09229327780804,33.39227294921875,5.534081935882568
14601_var1.png,6.464232495243756,40.76873779296875,4.854482173919678
9648_var1.png,8.086175992293548,47.54266357421875,5.694815158843994
2790_var1.png,5.479615186760289,35.19598388671875,5.184731483459473
4103_var1.png,5.322096423404691,37.52752685546875,5.057076930999756
3137_var1.png,5.582891963908184,33.74676513671875,5.537545680999756
11084_var1.png,5.890918263895607,25.59686279296875,5.405649185180664
9646_var1.png,8.315235007909683,49.29656982421875,4.5763840675354
62_var1.png,8.146902999383006,48.56463623046875,5.268658638000488
3407_var1.png,5.927278057632987,37.82928466796875,5.228861331939697
